TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
200401,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.897,0.208,1.308,1.949,1.272,0.897,0.0,0.208,1.308,0.0,1.949,1.272,0.0,145.511,163.721,0.643145,40.022,39.95,0.643145,-9999,-9999,294.177,294.177,0.0,-9999,-9999,294.549,294.549,0.0,-9999,-9999,1.424,1.424,0.0,90.446,90.446,0.0,1.083,1.083,0.0,1.93,1.93,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,50.3495,0.0,46.962,-9999,77.6229,0.0,72.4005,-9999,3.0,3,28.871,19.129,0.0,0.0,-0.141289,0.0,-9999,-9999,-0.141289,0.0,-9999,-9999,-0.155207,0.0,0.00417849,-0.231558,-0.17733,-0.175356,-0.141289,-0.141289,-0.141289,-0.12721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19459,2.41831,0.0,-9999,-9999,-2.14442,0.544337,0.0,-9999,-9999,1.19459,2.41831,0.0,-9999,-9999,-2.14442,0.544337,0.0,-9999,-9999,1.04989,1.13679,1.13995,1.19459,1.19459,1.19459,1.21715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.14442,-2.14442,-2.14442,-2.14442,-2.14442,-2.14442,-2.14442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74752,1.7537,1.78684,0.0211568,1.67444,1.69852,1.70177,1.72393,1.75688,2.03101,2.05474,1.88667,1.89499,1.94204,0.0242338,1.80165,1.83981,1.84518,1.88881,1.90126,2.20636,2.24957,1.86113,1.84685,1.78672,0.0199537,1.54309,1.54309,1.77888,1.84685,1.8568,1.86113,1.87802,0.70151,0.759569,0.717445,0.0137718,0.553743,0.553743,0.696873,0.759569,0.769632,0.78491,0.789012,-9999,-9999
200402,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.901,0.563,1.327,3.55,1.961,1.901,0.0,0.563,1.327,0.0,3.55,1.961,0.0,209.909,163.671,0.591954,84.24,84.058,0.591954,-9999,-9999,280.664,280.664,0.0,-9999,-9999,282.118,282.118,0.0,-9999,-9999,2.012,2.012,0.0,90.336,90.336,0.0,0.788,0.788,0.0,1.636,1.636,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.4942,0.0,46.8276,-9999,77.3656,0.0,73.1974,-9999,3.0,3,26.4138,21.5862,0.0,0.0,-0.140192,0.0,-9999,-9999,-0.140192,0.0,-9999,-9999,-0.154586,0.0,0.00426419,-0.23163,-0.177344,-0.175618,-0.140192,-0.140192,-0.140192,-0.126361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46048,2.32635,0.0,-9999,-9999,-2.08396,0.655128,0.0,-9999,-9999,1.46048,2.32635,0.0,-9999,-9999,-2.08396,0.655128,0.0,-9999,-9999,1.31601,1.38931,1.39234,1.46048,1.46048,1.46048,1.48474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.10262,-2.08396,-2.08396,-2.08396,-2.08396,-2.07678,-2.07678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8577,1.86374,1.89559,0.0205341,1.78603,1.80968,1.81287,1.8346,1.86686,2.13262,2.15543,1.9958,2.00394,2.05017,0.023695,1.91239,1.94987,1.95533,1.9979,2.01194,2.30824,2.34973,1.9047,1.89009,1.82855,0.0204208,1.57921,1.57921,1.82053,1.89009,1.90027,1.9047,1.92199,1.20154,1.28091,1.22131,0.0192206,0.99058,0.99058,1.20154,1.28091,1.29577,1.31034,1.31555,-9999,-9999
200403,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.275,2.778,2.236,7.645,3.639,5.275,0.0,2.778,2.236,0.0,7.645,3.639,0.0,301.023,163.889,0.531586,153.454,153.224,0.531586,-9999,-9999,277.25,277.25,0.0,-9999,-9999,278.977,278.977,0.0,-9999,-9999,3.779,3.779,0.0,90.768,90.768,0.0,0.365,0.365,0.0,1.641,1.641,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.3075,0.53293,50.0985,0.0,51.9775,-9999,75.2742,0.0,78.0974,-9999,3.0,3,23.5161,24.4839,0.0,0.0,-0.126386,0.0,-9999,-9999,-0.126386,0.0,-9999,-9999,-0.139847,0.0,0.00406094,-0.21471,-0.160779,-0.158985,-0.126386,-0.126386,-0.126386,-0.112877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86722,2.05667,0.0,-9999,-9999,-2.02456,0.81623,0.0,-9999,-9999,1.86722,2.05667,0.0,-9999,-9999,-2.02456,0.81623,0.0,-9999,-9999,1.74515,1.77873,1.78225,1.86722,1.86722,1.86722,1.89379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.07279,-2.02456,-2.02456,-2.02456,-2.02456,-2.00505,-2.00505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27538,2.28005,2.3041,0.0157075,2.21984,2.2382,2.24068,2.25751,2.28245,2.48546,2.50269,2.40015,2.40643,2.44395,0.0187379,2.33272,2.36459,2.36919,2.40177,2.41829,2.64445,2.67577,2.0331,2.0175,1.95182,0.0217974,1.68567,1.68567,1.94325,2.0175,2.02837,2.0331,2.05156,1.74179,1.83128,1.76247,0.0220161,1.49595,1.49595,1.74179,1.83128,1.8502,1.85789,1.86337,-9999,-9999
200404,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.121,5.053,2.506,10.399,3.992,8.121,0.0,5.053,2.506,0.0,10.399,3.992,0.0,391.827,185.582,0.466667,229.174,228.797,0.466667,-9999,-9999,281.464,281.464,0.0,-9999,-9999,282.854,282.854,0.0,-9999,-9999,5.646,5.646,0.0,90.599,90.599,0.0,0.39,0.39,0.0,1.494,1.494,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.6108,0.0,50.3765,0.0,50.6475,-9999,76.108,0.0,76.5174,-9999,2.0,3,20.4,27.6,0.0,0.0,0.356131,0.0,-9999,-9999,0.356131,0.0,-9999,-9999,0.36131,0.0,0.00219536,0.334478,0.356131,0.356131,0.356131,0.356131,0.38328,0.38328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41331,0.109869,0.0,-9999,-9999,-1.92713,1.00074,0.0,-9999,-9999,3.41331,0.109869,0.0,-9999,-9999,-1.92713,1.00074,0.0,-9999,-9999,3.41331,3.41331,3.41331,3.41331,3.41331,3.41331,3.41331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.96368,-1.92713,-1.92713,-1.92713,-1.92713,-1.88195,-1.88195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63242,2.63579,2.65287,0.0112646,2.59218,2.60551,2.6073,2.6195,2.63753,2.78296,2.79519,2.27512,2.27966,2.29156,0.0107579,2.23605,2.23733,2.24938,2.25994,2.2814,2.39968,2.4219,2.13878,2.12238,2.05327,0.0229305,1.7733,1.7733,2.04427,2.12238,2.13381,2.13878,2.1582,2.26481,2.36094,2.28576,0.0240034,1.99387,1.99387,2.26481,2.36094,2.3839,2.38422,2.38983,-9999,-9999
200405,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.167,7.349,1.903,11.843,3.205,10.167,0.0,7.349,1.903,0.0,11.843,3.205,0.0,458.055,223.114,0.412634,237.091,236.924,0.412634,-9999,-9999,299.126,299.126,0.0,-9999,-9999,299.102,299.102,0.0,-9999,-9999,5.271,5.271,0.0,90.458,90.458,0.0,0.382,0.382,0.0,1.429,1.743,0.44086,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.127,0.599462,12.546,0.599462,25.2853,0.0,50.5804,0.565188,50.405,0.324831,85.2775,0.565188,84.9818,1.02205,1.0,2,17.8065,30.1935,0.0,0.0,0.153275,0.0,-9999,-9999,0.153275,0.0,-9999,-9999,0.159921,0.0,0.00264344,0.130186,0.151156,0.151156,0.153275,0.153275,0.187485,0.187485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42131,0.108622,0.0,-9999,-9999,-1.78374,1.1741,0.0,-9999,-9999,3.42131,0.108622,0.0,-9999,-9999,-1.78374,1.1741,0.0,-9999,-9999,3.42131,3.42131,3.42131,3.42131,3.42131,3.42131,3.42131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.81911,-1.78698,-1.78698,-1.78374,-1.78374,-1.73132,-1.73132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88529,2.8879,2.90038,0.00851394,2.85388,2.86434,2.86574,2.87525,2.88925,2.99875,3.0077,2.73111,2.73463,2.74046,0.00780996,2.68777,2.70111,2.71106,2.72143,2.73597,2.81127,2.8275,2.21805,2.20103,2.12937,0.0237803,1.83901,1.83901,2.12003,2.20103,2.21289,2.21805,2.23818,2.41636,2.52521,2.44067,0.0269867,2.11282,2.11282,2.41636,2.52521,2.55001,2.55302,2.55943,-9999,-9999
200406,15.52,0.720833,10.373,2.185,0.879167,18.107,4.757,0.641667,15.689,12.093,2.452,17.501,4.365,15.711,0.720833,10.729,2.54,0.879167,18.218,4.388,0.641667,486.263,239.173,0.698611,298.893,251.176,0.698611,-9999,-9999,307.921,307.921,0.0,343.218,0.643056,307.193,332.411,0.643056,11.213,0.720833,10.725,11.157,0.720833,90.603,90.603,0.0,0.209,0.209,0.0,1.362,1.861,0.803472,0.374617257246,0.773611111111,-9999,-9999,-9999,-9999,-9999,-9999,387.38,0.593056,22.627,0.995833,10.927,0.995833,24.4074,0.593056,45.5138,0.979167,45.356,0.355492,94.9263,0.979167,94.5972,0.753064,0.513194,1,16.0667,31.9333,15.8,30.7,-0.0487861,0.535417,0.0300923,0.0392425,-0.0411187,0.531944,0.0301152,0.0392601,-0.0276501,0.531771,0.00593568,-0.0535236,-0.0512668,-0.0487861,-0.0411187,-0.0131177,-0.000890985,0.0147635,0.5375,0.536806,0.535417,0.531944,0.53125,0.529167,0.525694,2.98363,0.503217,0.597917,0.0619279,0.0621632,-1.57146,1.68876,0.504167,0.030297,0.0460455,2.99174,0.499859,0.597917,0.0620516,0.0622864,-1.5645,1.68631,0.498958,0.0302038,0.0459842,2.98084,2.98093,2.98363,2.99028,2.99174,2.99174,3.07105,0.597917,0.597917,0.597917,0.597917,0.597917,0.597917,0.6,-1.57694,-1.57626,-1.57167,-1.5645,-1.52438,-1.50691,-1.49864,0.507292,0.504167,0.504167,0.498958,0.491667,0.49375,0.489583,3.06507,3.06562,3.06309,0.00116077,3.0519,3.05489,3.05975,3.06176,3.06562,3.06594,3.07027,3.106,3.10674,3.09074,0.00613853,3.03229,3.06721,3.07356,3.10619,3.10992,3.11269,3.11491,2.76064,2.74243,2.69086,0.0187701,2.45514,2.46884,2.64488,2.74243,2.75969,2.76221,2.78132,2.84276,2.90556,2.85137,0.0182089,2.62922,2.63488,2.80922,2.90556,2.92027,2.93555,2.94616,-9999,-9999
200407,20.676,1.0,14.082,3.508,1.0,24.325,5.314,1.0,20.893,16.734,2.898,23.194,4.919,20.676,1.0,14.082,3.508,1.0,24.325,5.314,1.0,470.479,297.343,1.0,321.785,297.343,1.0,-9999,-9999,321.329,321.329,0.0,351.696,1.0,319.526,351.696,1.0,17.256,1.0,15.853,17.256,1.0,90.582,90.582,0.0,0.034,0.034,0.110887,1.279,1.695,0.718414,0.354790327083,0.695564516129,148.269968852,0.998655913978,571.757338038,1.0,-9999,-9999,378.123,1.0,27.981,1.0,8.786,1.0,15.8738,1.0,21.8765,0.997312,22.0341,0.263996,109.704,0.997984,110.494,0.766078,0.995968,1,17.0968,30.9032,17.0968,30.9032,0.0863157,0.942876,0.0247377,0.0274599,0.0818561,0.943548,0.0245078,0.0272529,0.0842398,0.939533,0.00789052,0.0472973,0.0623036,0.0737233,0.082239,0.0835295,0.0861441,0.0863157,0.933468,0.924731,0.935484,0.943548,0.942876,0.942876,0.942876,1.41867,0.743394,0.887835,0.0377135,0.0499973,-0.655681,1.59639,0.974853,0.0305325,0.0314524,1.41103,0.744127,0.887835,0.0378616,0.0501091,-0.658149,1.591,0.975893,0.030114,0.0310463,1.28645,1.35302,1.36328,1.41103,1.41608,1.41867,1.41867,0.855998,0.876555,0.876555,0.887835,0.887835,0.887835,0.887835,-0.660399,-0.659476,-0.657642,-0.656018,-0.655652,-0.644374,-0.618006,0.974853,0.974853,0.964412,0.974853,0.974853,0.967534,0.964308,2.12152,2.12088,2.11779,0.00368832,2.07556,2.08836,2.11477,2.12152,2.12687,2.12975,2.13013,2.03952,2.03902,2.03356,0.00532416,1.99731,2.02826,2.03821,2.04056,2.04378,2.04398,2.04569,1.69211,1.65386,1.64634,0.0115354,1.53224,1.57711,1.60462,1.65458,1.67109,1.68006,1.69211,1.67005,1.70461,1.70479,0.00360487,1.65378,1.69227,1.70241,1.70703,1.71239,1.71254,1.72205,-9999,-9999
200408,21.695,0.230511,15.666,0.51,0.239389,25.774,5.005,0.224694,20.101,16.964,2.439,22.213,4.212,20.999,0.230511,17.082,2.099,0.239389,23.613,4.619,0.224694,414.214,282.913,1.0,233.735,282.913,1.0,-9999,-9999,338.477,338.477,0.0,348.923,0.230511,335.301,339.458,0.230511,18.95,0.230511,13.151,15.255,0.230511,90.575,90.575,0.0,0.385,0.883,1.0,1.283,1.293,0.0168011,-9999,-9999,108.700495961,0.977822580645,541.460558072,0.997983870968,149.850774866,1.0,376.242,0.230511,24.691,1.0,9.041,1.0,8.68911,1.0,11.4319,0.228495,10.3044,0.231395,83.5165,0.228495,75.2791,0.867519,2.0,2,19.3871,28.6129,8.32258,13.5484,0.50343,0.211022,0.032882,0.033576,0.489848,0.211022,0.0328158,0.0335111,0.499717,0.210887,0.0019472,0.489848,0.489848,0.489848,0.497272,0.501339,0.50343,0.51545,0.211022,0.211022,0.211022,0.211022,0.210349,0.211022,0.21371,1.70345,0.108698,0.197887,0.0529483,0.0550463,-0.329445,1.23297,0.219169,0.0394786,0.0412033,1.6804,0.10178,0.197887,0.0527236,0.0548302,-0.33541,1.22293,0.219169,0.0394587,0.0411842,1.67334,1.67334,1.6794,1.6804,1.70345,1.70345,1.70345,0.196095,0.196095,0.196095,0.197887,0.197887,0.197887,0.197887,-0.339215,-0.339215,-0.33541,-0.33541,-0.316789,-0.315622,-0.306558,0.219169,0.219169,0.219169,0.219169,0.219169,0.219169,0.215795,2.13589,2.13535,2.14729,0.00421869,2.08967,2.11404,2.13535,2.14039,2.16356,2.17038,2.17453,1.66245,1.6455,1.64758,0.00378138,1.5924,1.61677,1.63164,1.64604,1.66833,1.66904,1.67238,1.10619,1.11569,1.11669,0.00401016,1.09875,1.10614,1.10619,1.11466,1.11569,1.11569,1.1312,1.15134,1.18318,1.16698,0.00272421,1.12111,1.1501,1.15115,1.17367,1.18318,1.18318,1.18318,-9999,-9999
200409,13.621,0.00694444,8.383,0.746,0.0138889,18.183,6.805,0.0,13.356,10.965,2.192,15.486,3.582,13.36,0.00694444,10.972,2.196,0.0138889,15.486,3.582,0.0,331.305,226.4,1.0,181.542,226.4,1.0,-9999,-9999,311.008,311.008,0.0,309.224,0.00694444,310.032,310.123,0.00694444,10.024,0.00694444,6.252,6.258,0.00694444,90.569,90.569,0.0,0.3,0.06,1.0,1.31,1.494,0.248611,-9999,-9999,77.5669601696,0.994444444444,433.351902083,0.997916666667,124.742706944,1.0,376.14,0.00694444,16.418,0.995139,9.381,0.995139,4.47778,1.0,15.2364,0.700694,12.1211,0.605531,77.7917,0.700694,61.8859,1.693,0.695139,1,22.3667,25.6333,5.4,5.6,0.418746,0.684722,0.0391927,0.0395393,0.406399,0.682639,0.0391927,0.0395393,0.414873,0.683073,0.00108136,0.406399,0.408299,0.408306,0.415547,0.418374,0.418746,0.42579,0.682639,0.682639,0.682639,0.684722,0.684722,0.684722,0.681944,0.965993,0.333604,0.710317,0.051293,0.0518653,-0.0839921,0.771299,0.660117,0.0552931,0.0554199,0.947492,0.310924,0.710317,0.051293,0.0518653,-0.0905397,0.761617,0.656413,0.0552931,0.0554199,0.947492,0.950626,0.950636,0.958339,0.965632,0.965993,0.965993,0.710317,0.710317,0.710317,0.710317,0.710317,0.710317,0.710317,-0.0905397,-0.0900104,-0.0900076,-0.0846202,-0.0838971,-0.0825161,-0.0712546,0.656413,0.656413,0.656413,0.660117,0.656413,0.656413,0.655024,1.30742,1.30746,1.34066,0.0124437,1.19712,1.2488,1.30727,1.30748,1.36496,1.44308,1.44351,0.935853,0.901059,0.925832,0.0119483,0.783813,0.833256,0.888523,0.901059,0.952477,1.02313,1.02783,1.30234,1.19718,1.47181,0.0576163,1.13872,1.14001,1.15278,1.30234,1.84391,1.87836,1.88253,1.15669,0.780915,0.950604,0.0323608,0.756605,0.778033,0.780915,0.881333,1.15669,1.1706,1.17322,-9999,-9999
200410,8.788,0.975806,5.914,2.052,1.0,11.929,3.811,0.951613,9.246,7.479,1.934,11.151,3.02,8.664,0.975806,5.914,2.052,1.0,11.681,3.468,0.951613,239.055,145.766,1.0,110.287,145.766,1.0,-9999,-9999,304.01,304.01,0.0,291.737,0.975806,303.594,291.127,0.975806,5.11,0.975806,4.462,4.861,0.975806,90.293,90.293,0.0,0.547,0.423,1.0,1.465,1.533,0.630376,0.32258325512,0.588037634409,39.0627288762,0.989919354839,280.314468414,1.0,91.8380981183,1.0,379.157,0.954301,10.425,1.0,9.409,1.0,-4.75221,1.0,14.4306,0.97379,11.9164,0.317886,37.425,0.974462,30.9045,0.644195,0.963038,1,25.4194,22.5806,25.4194,22.5806,0.159972,0.934812,0.0313504,0.0541261,0.177428,0.934812,0.0303056,0.0535277,0.187807,0.933165,0.00613119,0.134179,0.14217,0.159972,0.177428,0.212929,0.230415,0.235454,0.936156,0.936156,0.934812,0.934812,0.932796,0.932796,0.927419,0.539942,0.531456,0.949677,0.038752,0.0680837,-0.269635,1.11657,0.920858,0.0471452,0.0553962,0.571235,0.504953,0.949677,0.0368472,0.0670179,-0.269385,1.11901,0.920858,0.0461874,0.0545834,0.500603,0.513129,0.539942,0.571235,0.594009,0.625087,0.629489,0.949677,0.949677,0.949677,0.949677,0.948387,0.948387,0.939978,-0.278431,-0.277032,-0.272282,-0.268553,-0.221681,-0.218858,-0.21472,0.923738,0.923738,0.920858,0.920858,0.918052,0.91665,0.91665,0.72915,0.728735,0.729655,0.00882511,0.620541,0.650671,0.691551,0.72915,0.76889,0.788328,0.792968,0.561627,0.551306,0.542109,0.00368756,0.486835,0.508589,0.527078,0.551721,0.557904,0.561627,0.571864,1.56478,1.41543,1.58153,0.054674,1.0755,1.08007,1.38652,1.56433,1.7995,1.98447,2.14699,1.12327,0.876687,1.00542,0.0323267,0.734008,0.735579,0.870761,1.0386,1.12327,1.24942,1.3352,-9999,-9999
